room_id;host_id;room_type;animal;neighborhood;price;date;location
12331794;41933599;SHARED_ROOM;false;Eixample;76.6;03/26/2019;0101000020E6100000C828CFBC1C56014060E63BF889B14440
12331935;41933599;SHARED_ROOM;true;Eixample;14.0;03/26/2020;0101000020E6100000CD1FD3DA34560140320400C79EB14440
12332051;41933599;SHARED_ROOM;true;Eixample;18.5;03/26/2021;0101000020E61000001B0FB6D8ED5301409E0B23BDA8B14440
4627938;23968212;SHARED_ROOM;true;Eixample;71.2;03/26/2022;0101000020E6100000289D4830D54C014060C77F8120B24440
12331497;41933599;SHARED_ROOM;true;Eixample;87.4;03/26/2023;0101000020E6100000EAEBF99AE55201402B6B9BE271B14440
12018424;64212374;SHARED_ROOM;false;Sants-Montjuïc;93.5;03/26/2024;0101000020E61000006D74CE4F715C01405952EE3EC7AF4440
12017913;64212374;SHARED_ROOM;false;Sants-Montjuïc;18.9;03/26/2025;0101000020E6100000EDF0D7648D5A0140562B137EA9AF4440
11830051;41807465;SHARED_ROOM;true;Eixample;47.1;03/26/2026;0101000020E6100000580229B16B3B01409EB29AAE27B24440
16552543;46914366;SHARED_ROOM;false;Sants-Montjuïc;44.8;03/26/2027;0101000020E6100000E8F527F1B9530140CB2DAD86C4AF4440
18212084;76384135;SHARED_ROOM;false;Eixample;26.1;03/26/2028;0101000020E6100000AF5C6F9BA9300140B51666A19DB14440
1823947;9547606;SHARED_ROOM;false;Sants-Montjuïc;15.2;03/26/2029;0101000020E6100000D905836BEE0801409E4319AA62B04440
17513179;41092915;SHARED_ROOM;true;Ciutat Vella;87.2;03/26/2030;0101000020E6100000603FC4060B870140B613252191B04440
7965130;41807465;SHARED_ROOM;true;Eixample;15.3;03/26/2031;0101000020E61000008A03E8F7FD3B0140DC9DB5DB2EB24440
7965883;41807465;SHARED_ROOM;true;Eixample;95.1;03/26/2032;0101000020E6100000D6AA5D13D23A0140E84B6F7F2EB24440
7086254;37143874;SHARED_ROOM;true;Sants-Montjuïc;6.5;03/26/2033;0101000020E6100000677FA0DCB64F0140AF7C96E7C1AF4440
7968315;41807465;SHARED_ROOM;false;Eixample;90.3;03/26/2034;0101000020E6100000732A1900AA380140F9F6AE415FB24440
12033127;64212374;SHARED_ROOM;true;Sants-Montjuïc;3.4;03/26/2035;0101000020E61000005A84622B685A0140E5D4CE30B5AF4440
12032919;64212374;SHARED_ROOM;true;Sants-Montjuïc;18.6;03/26/2036;0101000020E61000002E58AA0B78590140E162450DA6AF4440
15748124;101784868;SHARED_ROOM;false;Ciutat Vella;95.0;03/26/2037;0101000020E61000007E5182FE426F01400667F0F78BB14440
1211322;6614322;SHARED_ROOM;true;Sant Martí;50.9;03/26/2038;0101000020E61000005B9A5B21AC860140FC3905F9D9B24440
12018438;64212374;SHARED_ROOM;true;Sants-Montjuïc;38.1;03/26/2039;0101000020E6100000BB9A3C65355D0140E0B9F770C9AF4440
7006472;36213611;SHARED_ROOM;true;Eixample;85.9;03/26/2040;0101000020E6100000BC9179E40F6601401CD2A8C0C9B24440
6624330;8826561;SHARED_ROOM;true;Eixample;56.7;03/26/2041;0101000020E6100000616C21C841690140C0B167CF65B44440
7659473;40202792;SHARED_ROOM;false;Sant Martí;35.4;03/26/2042;0101000020E61000008E959867258D014063B9A5D590B24440
2806466;14330519;SHARED_ROOM;false;Gràcia;28.8;03/26/2043;0101000020E6100000753FA7203F3B014067EE21E17BB34440
6638779;34746872;SHARED_ROOM;true;Eixample;29.5;03/26/2044;0101000020E61000002FF834272F3201404D840D4FAFB04440
9994799;8538802;SHARED_ROOM;true;Eixample;58.1;03/26/2045;0101000020E6100000E84CDA54DD430140A6423C122FB14440
15401121;41657332;SHARED_ROOM;false;Eixample;48.3;03/26/2046;0101000020E61000005646239F575C01405F7EA7C98CB14440
19723333;139032216;SHARED_ROOM;false;Ciutat Vella;26.0;03/26/2047;0101000020E6100000252191B6F1670140079B3A8F8AB14440
15436697;98983671;SHARED_ROOM;false;Nou Barris;81.9;03/26/2048;0101000020E61000005247C7D5C86E0140F052EA9271B84440
12284317;64212374;SHARED_ROOM;true;Sants-Montjuïc;75.0;03/26/2049;0101000020E61000003D7E6FD39F5D014061FC34EECDAF4440
